-555.0,-199.5,-748.5,-661.5,-577.5,-775.5,-621.0
-720.0,-103.5,-292.5,-697.5,-453.0,-360.0,-292.5
-697.5,-720.0,-697.5,-1042.5,-720.0,-675.0,-576.0
-697.5,-292.5,-1023.0,-675.0,-355.5,-550.5,-693.0
-361.5,-279.0,-279.0,-279.0,-256.5,-436.5,-256.5
-307.5,-247.5,-207.0,-85.5,-946.5,-447.0,-249.0
-262.5,-270.0,-176.0,-207.0,-319.5,-270.0,-270.0
-675.0,-652.5,-675.0,-621.0,-1005.0,-652.5,-675.0
-1027.5,-697.5,-697.5,-706.5,-697.5,-697.5,-675.0
-420.0,-567.0,-592.5,-592.5,-697.5,-684.0,-687.0
-667.5,-687.0,-697.5,-697.5,-652.5,-660.0,-742.5
-697.5,-697.5,-697.5,-642.0,-612.0,-697.5,-639.0
-648.0,-738.0,-535.5,-573.0,-567.0,-621.0,-697.5
-697.5,-670.5,-603.0,-405.0,-640.5,-595.5,-684.0
-586.5,-660.0,-615.0,-660.0,-660.0,-540.0,-660.0
-688.5,-615.0,-645.0,-580.5,-652.5,-574.5,-942.0
-319.5,-525.0,-627.0,-859.5,-537.0,-426.0,-265.5
-292.5,-255.0,-255.0,-675.0,-679.5,-697.5,-621.0
-301.5,-210.0,-669.0,-675.0,-675.0,-652.5,-675.0
-270.0,-606.0,-262.5,-196.5,-270.0,-592.5,-270.0
-675.0,-270.0,-675.0,-675.0,-675.0,-661.5,-675.0
-270.0,-270.0,-262.5,-270.0,-270.0,-270.0,-600.0
-697.5,-544.5,-247.5,-697.5,-675.0,-652.5,-652.5
-667.5,-997.5,-645.0,-631.5,-660.0,-645.0,-645.0
-345.0,-274.5,-595.5,-415.5,-348.0,-361.5,-354.0
-586.5,-795.0,-586.5,-382.5,-795.0,-382.5,-535.5
-637.5,-718.5,-937.5,-960.0,-960.0,-937.5,-771.0
-763.5,-655.5,-547.5,-655.5,-657.0,-727.5,-727.5
-637.5,-615.0,-598.5,-621.0,-598.5,-637.5,-637.5
-597.0,-597.0,-597.0,-867.0,-597.0,-597.0,-597.0
-805.5,-553.5,-777.0,-648.0,-670.5,-754.5,-670.5
