55,289,60
147,150,59
213,316,59
87,80,60
43,117,59
137,266,59
44,276,60
109,290,59
108,284,59
145,230,60
170,350,59
90,319,59
129,296,60
132,299,59
4,354,59
140,292,60
119,195,59
10,180,59
103,229,60
166,282,59
85,199,59
17,316,60
104,268,59
0,316,47
102,264,60
78,184,59
51,336,59
181,218,60
79,275,59
91,287,59
0,203,55
103,250,59
163,296,59
107,175,60
0,260,43
97,266,59
116,283,60
0,94,57
0,246,55
171,261,60
140,243,59
289,356,59
117,206,60
231,288,59
104,186,59
62,253,60
117,218,59
201,314,59
225,271,60
150,264,59
48,268,59
9,239,60
192,328,59
154,313,59
136,230,60
42,247,59
276,254,59
36,247,60
185,193,59
98,240,59
289,38,60
148,106,59
88,0,53
243,164,60
267,229,81
282,287,59
207,222,59
355,319,59
309,234,59
252,169,59
292,265,59
267,301,59
229,199,143
312,147,59
310,147,60
245,159,60
270,156,72
256,155,59
287,161,59
282,24,59
268,83,59
395,339,59
400,256,59
202,181,59
274,129,59
202,186,63
211,113,59
52,106,61
218,247,60
